
Project: 160322-K1-2 (1)
Owner: 
Site: Site of Interest 1

Sample: Sample 1
Type: Default
ID: 

Processing option : All elements analysed (Normalised)

All results in atomic%

X and Y are stage positions

Spectrum	In stats.	X (mm)	Y (mm)	O	Si	Ti	Ta	
Spectrum 1 {329}	Yes	14.680	26.524	3.37	30.86	65.60	0.18	
Spectrum 1 {330}	Yes	19.182	26.524	2.69	29.70	67.41	0.19	
Spectrum 1 {331}	Yes	23.681	26.524	2.35	29.02	68.49	0.13	
Spectrum 1 {332}	Yes	28.180	26.524	3.32	28.27	68.29	0.11	
Spectrum 1 {333}	Yes	32.680	26.524	1.79	29.34	68.77	0.10	
Spectrum 1 {334}	Yes	37.180	26.524	3.77	30.93	65.24	0.06	
Spectrum 1 {335}	Yes	41.680	26.524	45.94	52.42	1.78	-0.14	
Spectrum 1 {336}	Yes	46.182	26.524	27.19	73.97	1.77	-2.93	
Spectrum 1 {337}	Yes	-43.809	31.024	27.13	73.36	1.55	-2.03	
Spectrum 1 {338}	Yes	-39.309	31.024	-1.26	343.32	-126.39	-115.68	
Spectrum 1 {339}	Yes	-34.810	31.024	1.50	14.05	28.65	55.81	
Spectrum 1 {340}	Yes	-30.309	31.024	3.21	11.32	33.46	52.00	
